date,actual,predicted,error
2025-02-20,552.1533458167177,557.3720685150499,-5.218722698332272
2025-02-21,541.2632293631951,539.4175765131299,1.8456528500652212
2025-02-22,539.738255173813,545.9707048088676,-6.23244963505465
2025-02-23,559.9645514904684,574.0324880787325,-14.06793658826416
2025-02-24,558.4427736809989,552.4112204204915,6.031553260507394
2025-02-25,549.3322563035698,542.4600914182136,6.872164885356256
2025-02-26,542.2016248748209,554.4448871788932,-12.243262304072232
2025-02-27,542.2237635164598,545.1507959599012,-2.9270324434413624
2025-02-28,555.7676371398247,544.4126741546239,11.354962985200814
2025-03-01,532.2733586407019,531.200520210337,1.0728384303648681
2025-03-02,539.7924328554751,526.5002139459225,13.292218909552616
2025-03-03,533.5909287787765,519.7373622641711,13.853566514605404
2025-03-04,558.2256073214216,550.4868780827351,7.738729238686574
2025-03-05,538.218907071042,506.28904581586033,31.92986125518172
2025-03-06,527.077077259077,496.86929324773786,30.20778401133913
2025-03-07,545.1168558050585,526.6956006415517,18.421255163506885
2025-03-08,525.2476540345996,501.9483317736271,23.299322260972474
2025-03-09,524.0037170731839,513.6004253137402,10.403291759443732
